RMSE,filter
{rmse_x:0.0861617   rmse_Y:0.093861  rmse_vx:0.638498  rmse_vY:0.515671  },1
{rmse_x:0.0859122   rmse_Y:0.0936171  rmse_vx:0.636838  rmse_vY:0.514794  },1
{rmse_x:0.0857651   rmse_Y:0.0934094  rmse_vx:0.63545  rmse_vY:0.514141  },1
{rmse_x:0.0856899   rmse_Y:0.0932292  rmse_vx:0.634327  rmse_vY:0.513067  },1
{rmse_x:0.0855821   rmse_Y:0.0930778  rmse_vx:0.633047  rmse_vY:0.512187  },1
{rmse_x:0.0854917   rmse_Y:0.0929419  rmse_vx:0.632  rmse_vY:0.510871  },1
{rmse_x:0.086113   rmse_Y:0.0927184  rmse_vx:0.632021  rmse_vY:0.509967  },1
{rmse_x:0.0871134   rmse_Y:0.0925015  rmse_vx:0.632379  rmse_vY:0.509017  },1
{rmse_x:0.088304   rmse_Y:0.092269  rmse_vx:0.63264  rmse_vY:0.508374  },1
{rmse_x:0.0898211   rmse_Y:0.0920226  rmse_vx:0.633123  rmse_vY:0.507705  },1
{rmse_x:0.0911959   rmse_Y:0.0917702  rmse_vx:0.633147  rmse_vY:0.507347  },1
{rmse_x:0.0927566   rmse_Y:0.0915202  rmse_vx:0.633365  rmse_vY:0.506726  },1
{rmse_x:0.0945981   rmse_Y:0.0912929  rmse_vx:0.633633  rmse_vY:0.506506  },1
{rmse_x:0.0971925   rmse_Y:0.0910454  rmse_vx:0.634738  rmse_vY:0.505402  },1
{rmse_x:0.0982133   rmse_Y:0.0907993  rmse_vx:0.633992  rmse_vY:0.504381  },1
{rmse_x:0.0992709   rmse_Y:0.090572  rmse_vx:0.633317  rmse_vY:0.503134  },1
{rmse_x:0.0999879   rmse_Y:0.09033  rmse_vx:0.632309  rmse_vY:0.50214  },1
{rmse_x:0.100563   rmse_Y:0.0901113  rmse_vx:0.631187  rmse_vY:0.501432  },1
{rmse_x:0.10054   rmse_Y:0.0898839  rmse_vx:0.6296  rmse_vY:0.500805  },1
{rmse_x:0.100687   rmse_Y:0.0896522  rmse_vx:0.628292  rmse_vY:0.499673  },1
{rmse_x:0.100579   rmse_Y:0.0894463  rmse_vx:0.626774  rmse_vY:0.498753  },1
{rmse_x:0.100438   rmse_Y:0.089261  rmse_vx:0.625272  rmse_vY:0.498003  },1
{rmse_x:0.100214   rmse_Y:0.0890945  rmse_vx:0.623675  rmse_vY:0.497405  },1
{rmse_x:0.0999666   rmse_Y:0.0888962  rmse_vx:0.622104  rmse_vY:0.496122  },1
{rmse_x:0.0998353   rmse_Y:0.0887478  rmse_vx:0.621098  rmse_vY:0.494913  },1
{rmse_x:0.0996594   rmse_Y:0.088665  rmse_vx:0.619962  rmse_vY:0.494021  },1
{rmse_x:0.0996811   rmse_Y:0.0886062  rmse_vx:0.619272  rmse_vY:0.493296  },1
{rmse_x:0.0999257   rmse_Y:0.0885121  rmse_vx:0.619095  rmse_vY:0.492096  },1
{rmse_x:0.0999709   rmse_Y:0.0887412  rmse_vx:0.618495  rmse_vY:0.491181  },1
{rmse_x:0.100007   rmse_Y:0.0887554  rmse_vx:0.617932  rmse_vY:0.489958  },1
{rmse_x:0.0999531   rmse_Y:0.0887291  rmse_vx:0.617136  rmse_vY:0.488738  },1
{rmse_x:0.0999588   rmse_Y:0.0888183  rmse_vx:0.616398  rmse_vY:0.487831  },1
{rmse_x:0.0998386   rmse_Y:0.0890451  rmse_vx:0.615396  rmse_vY:0.487123  },1
{rmse_x:0.0998897   rmse_Y:0.0892263  rmse_vx:0.614738  rmse_vY:0.48647  },1
{rmse_x:0.099816   rmse_Y:0.0892236  rmse_vx:0.613791  rmse_vY:0.485702  },1
{rmse_x:0.0998121   rmse_Y:0.0893269  rmse_vx:0.61299  rmse_vY:0.48511  },1
{rmse_x:0.100002   rmse_Y:0.0896718  rmse_vx:0.612527  rmse_vY:0.48483  },1
{rmse_x:0.10023   rmse_Y:0.0897943  rmse_vx:0.612107  rmse_vY:0.483697  },1
{rmse_x:0.100467   rmse_Y:0.0898183  rmse_vx:0.61162  rmse_vY:0.482575  },1
{rmse_x:0.100952   rmse_Y:0.0899083  rmse_vx:0.611451  rmse_vY:0.481514  },1
{rmse_x:0.101954   rmse_Y:0.0899256  rmse_vx:0.611866  rmse_vY:0.480465  },1
{rmse_x:0.103089   rmse_Y:0.0901134  rmse_vx:0.612241  rmse_vY:0.479721  },1
{rmse_x:0.103445   rmse_Y:0.0903488  rmse_vx:0.611478  rmse_vY:0.479075  },1
{rmse_x:0.103786   rmse_Y:0.0903999  rmse_vx:0.610672  rmse_vY:0.477959  },1
{rmse_x:0.104302   rmse_Y:0.0904065  rmse_vx:0.610051  rmse_vY:0.476856  },1
{rmse_x:0.105034   rmse_Y:0.0902693  rmse_vx:0.609608  rmse_vY:0.476075  },1
{rmse_x:0.104822   rmse_Y:0.0900826  rmse_vx:0.608203  rmse_vY:0.475235  },1
{rmse_x:0.104606   rmse_Y:0.0898764  rmse_vx:0.606814  rmse_vY:0.474727  },1
{rmse_x:0.104465   rmse_Y:0.0896733  rmse_vx:0.605538  rmse_vY:0.474124  },1
{rmse_x:0.104366   rmse_Y:0.0894696  rmse_vx:0.604361  rmse_vY:0.473131  },1
{rmse_x:0.10428   rmse_Y:0.089271  rmse_vx:0.603144  rmse_vY:0.472071  },1
{rmse_x:0.104135   rmse_Y:0.0890733  rmse_vx:0.601806  rmse_vY:0.471026  },1
{rmse_x:0.104011   rmse_Y:0.0888769  rmse_vx:0.600464  rmse_vY:0.47  },1
{rmse_x:0.103824   rmse_Y:0.0887002  rmse_vx:0.599139  rmse_vY:0.469008  },1
{rmse_x:0.103819   rmse_Y:0.0885739  rmse_vx:0.597819  rmse_vY:0.468104  },1
{rmse_x:0.103683   rmse_Y:0.0884403  rmse_vx:0.596519  rmse_vY:0.467129  },1
{rmse_x:0.10347   rmse_Y:0.0882773  rmse_vx:0.595681  rmse_vY:0.466134  },1
{rmse_x:0.10326   rmse_Y:0.0881284  rmse_vx:0.594845  rmse_vY:0.465308  },1
{rmse_x:0.103227   rmse_Y:0.0880058  rmse_vx:0.594555  rmse_vY:0.464505  },1
{rmse_x:0.103193   rmse_Y:0.0878466  rmse_vx:0.59399  rmse_vY:0.463508  },1
